"","location","Total_population","Total_death","percentage"
"1","Peru",34049588,221704,0.0065
"2","Bulgaria",6781955,38414,0.0057
"3","Bosnia and Herzegovina",3233530,16362,0.0051
"4","Hungary",9967304,48817,0.0049
"5","North Macedonia",2093606,9946,0.0048
"6","Croatia",4030361,18397,0.0046
"7","Georgia",3744385,17132,0.0046
"8","Slovenia",2119843,9448,0.0045
"9","Montenegro",627082,2654,0.0042
"10","Czechia",10493990,42900,0.0041
"11","Latvia",1850654,7384,0.004
"12","Slovakia",5643455,21167,0.0038
"13","Moldova",3272993,12135,0.0037
"14","San Marino",33690,126,0.0037
"15","Greece",10384972,37572,0.0036
"16","Gibraltar",32677,113,0.0035
"17","Lithuania",2750058,9729,0.0035
"18","Romania",19659270,68455,0.0035
"19","United Kingdom",67508936,230669,0.0034
"20","United States",338289856,1136920,0.0034
"21","Brazil",215313504,704659,0.0033
"22","Chile",19603736,64497,0.0033
"23","Italy",59037472,192210,0.0033
"24","Armenia",2780472,8762,0.0032
"25","Martinique",367512,1104,0.003
"26","Poland",39857144,119657,0.003
"27","Argentina",45510324,130472,0.0029
"28","Belgium",11655923,34339,0.0029
"29","Paraguay",6780745,19981,0.0029
"30","Trinidad and Tobago",1531043,4390,0.0029
"31","Colombia",51874028,142942,0.0028
"32","Russia",144713312,400195,0.0028
"33","Ukraine",39701744,109918,0.0028
"34","Aruba",106459,292,0.0027
"35","Portugal",10270857,27424,0.0027
"36","Bermuda",64207,165,0.0026
"37","Guadeloupe",395762,1021,0.0026
"38","Mexico",127504120,334727,0.0026
"39","Serbia",6871547,18057,0.0026
"40","Spain",47558632,121852,0.0026
"41","Austria",8939617,22534,0.0025
"42","France",67813000,167985,0.0025
"43","Guam",171783,417,0.0024
"44","Sweden",10549349,24950,0.0024
"45","Tunisia",12356116,29423,0.0024
"46","Saint Lucia",179872,410,0.0023
"47","Suriname",618046,1408,0.0023
"48","Barbados",281646,620,0.0022
"49","Estonia",1326064,2902,0.0022
"50","Liechtenstein",39355,87,0.0022
"51","Uruguay",3422796,7635,0.0022
"52","Bahamas",409989,844,0.0021
"53","French Polynesia",306292,649,0.0021
"54","Germany",83369840,174979,0.0021
"55","Sint Maarten (Dutch part)",44192,92,0.0021
"56","Andorra",79843,159,0.002
"57","British Virgin Islands",31332,64,0.002
"58","Ecuador",18001002,36043,0.002
"59","Lebanon",5489744,10947,0.002
"60","Panama",4408582,8654,0.002
"61","Finland",5540745,10371,0.0019
"62","Grenada",125459,238,0.0019
"63","Bolivia",12224114,22404,0.0018
"64","Costa Rica",5180836,9428,0.0018
"65","Ireland",5023108,9262,0.0018
"66","Kosovo",1782115,3212,0.0018
"67","Monaco",36491,67,0.0018
"68","Montserrat",4413,8,0.0018
"69","Puerto Rico",3252412,5938,0.0018
"70","Belize",405285,688,0.0017
"71","Iran",88550568,146480,0.0017
"72","Malta",533293,882,0.0017
"73","South Africa",59893884,102595,0.0017
"74","Antigua and Barbuda",93772,146,0.0016
"75","Curacao",191173,305,0.0016
"76","Guyana",808727,1299,0.0016
"77","Namibia",2567024,4100,0.0016
"78","Seychelles",107135,172,0.0016
"79","Switzerland",8740471,14073,0.0016
"80","Bonaire Sint Eustatius and Saba",27052,41,0.0015
"81","Cyprus",896007,1364,0.0015
"82","Denmark",5882259,8824,0.0015
"83","Jersey",110796,161,0.0015
"84","Luxembourg",647601,1000,0.0015
"85","Canada",38454328,53297,0.0014
"86","French Guiana",304568,413,0.0014
"87","Isle of Man",84534,116,0.0014
"88","Saint Martin (French part)",31816,46,0.0014
"89","Albania",2842318,3604,0.0013
"90","Israel",9449000,12697,0.0013
"91","Jamaica",2827382,3611,0.0013
"92","Jordan",11285875,14122,0.0013
"93","Netherlands",17564020,22986,0.0013
"94","United States Virgin Islands",99479,132,0.0013
"95","Eswatini",1201680,1427,0.0012
"96","Saint Vincent and the Grenadines",103959,124,0.0012
"97","Turkey",85341248,101419,0.0012
"98","Botswana",2630300,2800,0.0011
"99","Guatemala",17843914,20236,0.0011
"100","Guernsey",63329,67,0.0011
"101","Honduras",10432858,11127,0.0011
"102","Malaysia",33938216,37200,0.0011
"103","New Caledonia",289959,314,0.0011
"104","Norway",5434324,5732,0.0011
"105","Palestine",5250076,5708,0.0011
"106","Azerbaijan",10358078,10353,0.001
"107","Bahrain",1472237,1536,0.001
"108","Dominica",72758,74,0.001
"109","Fiji",929769,885,0.001
"110","Kazakhstan",19397998,19072,0.001
"111","Oman",4576300,4628,0.001
"112","Saint Kitts and Nevis",47681,46,0.001
"113","Australia",26177410,23289,9e-04
