"","location","Population","Total_vaccinations"
"1","Afghanistan",41128772,78275
"2","Albania",2842318,1417691
"3","Algeria",44903228,170786
"4","American Samoa",44295,0
"5","Andorra",79843,4802
"6","Angola",35588996,0
"7","Anguilla",15877,1421
"8","Antigua and Barbuda",93772,8412
"9","Argentina",45510324,116466187
"10","Armenia",2780472,0
"11","Aruba",106459,114318
"12","Australia",26177410,62460562
"13","Austria",8939617,0
"14","Azerbaijan",10358078,10719068
"15","Bahamas",409989,9258
"16","Bahrain",1472237,2954499
"17","Bangladesh",171186368,141641555
"18","Barbados",281646,293273
"19","Belarus",9534956,0
"20","Belgium",11655923,29703925
"21","Belize",405285,119978
"22","Benin",13352864,0
"23","Bermuda",64207,0
"24","Bhutan",782457,862033
"25","Bolivia",12224114,14565586
"26","Bonaire Sint Eustatius and Saba",27052,0
"27","Bosnia and Herzegovina",3233530,93862
"28","Botswana",2630300,10435
"29","Brazil",215313504,460591607
"30","British Virgin Islands",31332,0
"31","Brunei",449002,259735
"32","Bulgaria",6781955,4483252
"33","Burkina Faso",22673764,0
"34","Burundi",12889583,460
"35","Cambodia",16767851,36482941
"36","Cameroon",27914542,10290
"37","Canada",38454328,96561101
"38","Cape Verde",593162,7462
"39","Cayman Islands",68722,15339
"40","Central African Republic",5579148,12887
"41","Chad",17723312,0
"42","Chile",19603736,62671925
"43","China",1425887360,3407595000
"44","Colombia",51874028,50290307
"45","Comoros",836783,0
"46","Congo",5970430,1486
"47","Cook Islands",17032,0
"48","Costa Rica",5180836,0
"49","Cote d'Ivoire",28160548,2278710
"50","Croatia",4030361,3815368
"51","Cuba",11212198,38404382
"52","Curacao",191173,191553
"53","Cyprus",896007,428204
"54","Czechia",10493990,18623822
"55","Democratic Republic of Congo",99010216,42303
"56","Denmark",5882259,0
"57","Djibouti",1120851,12179
"58","Dominica",72758,6417
"59","Dominican Republic",11228821,14029086
"60","Ecuador",18001002,36284797
"61","Egypt",110990096,2157499
"62","El Salvador",6336393,4964236
"63","England",56550000,142058067
"64","Equatorial Guinea",1674916,639
"65","Eritrea",3684041,0
"66","Estonia",1326064,2116717
"67","Eswatini",1201680,110765
"68","Ethiopia",123379928,23047615
"69","Faeroe Islands",53117,34813
"70","Falkland Islands",3801,0
"71","Fiji",929769,28295
"72","Finland",5540745,1254404
"73","France",67813000,154492650
"74","French Guiana",304568,0
"75","French Polynesia",306292,855
"76","Gabon",2388997,1486
"77","Gambia",2705995,429
"78","Georgia",3744385,1455821
"79","Germany",83369840,192197041
"80","Ghana",33475870,180950
"81","Gibraltar",32677,92234
"82","Greece",10384972,21230951
"83","Greenland",56494,43336
"84","Grenada",125459,1159
"85","Guadeloupe",395762,0
"86","Guam",171783,0
"87","Guatemala",17843914,13495417
"88","Guernsey",63329,15931
"89","Guinea",13859349,1586407
"90","Guinea-Bissau",2105580,1658
"91","Guyana",808727,144957
