"","Years","Total_death"
"1",2020,0
"2",2020,0
"3",2020,0
"4",2020,0
"5",2020,0
"6",2020,0
"7",2020,0
"8",2020,1
"9",2020,0
"10",2020,0
"11",2020,1
"12",2020,0
"13",2020,1
"14",2020,1
"15",2020,0
"16",2020,0
"17",2020,0
"18",2020,1
"19",2020,0
"20",2020,2
"21",2020,0
"22",2020,4
"23",2020,3
"24",2020,1
"25",2020,0
"26",2020,0
"27",2020,3
"28",2020,1
"29",2020,3
"30",2020,3
"31",2020,4
"32",2020,1
"33",2020,0
"34",2020,0
"35",2020,3
"36",2020,3
"37",2020,0
"38",2020,4
"39",2020,0
"40",2020,3
"41",2020,6
"42",2020,1
"43",2020,10
"44",2020,0
"45",2020,0
"46",2020,4
"47",2020,8
"48",2020,23
"49",2020,9
"50",2020,1
"51",2020,10
"52",2020,4
"53",2020,2
"54",2020,6
"55",2020,5
"56",2020,4
"57",2020,17
"58",2020,15
"59",2020,1
"60",2020,4
"61",2020,4
"62",2020,12
"63",2020,12
"64",2020,10
"65",2020,7
"66",2020,1
"67",2020,1
"68",2020,6
"69",2020,9
"70",2020,11
"71",2020,2
"72",2020,2
"73",2020,15
"74",2020,5
"75",2020,24
"76",2020,5
"77",2020,10
"78",2020,18
"79",2020,30
"80",2020,12
"81",2020,7
"82",2020,29
"83",2020,21
"84",2020,20
"85",2020,5
"86",2020,20
"87",2020,5
"88",2020,8
"89",2020,20
"90",2020,42
"91",2020,2
"92",2020,0
"93",2020,33
"94",2020,17
"95",2020,20
"96",2020,21
"97",2020,36
"98",2020,5
"99",2020,23
"100",2020,26
"101",2020,4
"102",2020,2
"103",2020,39
"104",2020,33
"105",2020,12
"106",2020,7
"107",2020,38
"108",2020,23
"109",2020,33
"110",2020,16
"111",2020,1
"112",2020,34
"113",2020,4
"114",2020,35
"115",2020,2
"116",2020,33
"117",2020,49
"118",2020,19
"119",2020,34
"120",2020,0
"121",2020,34
"122",2020,2
"123",2020,1
"124",2020,6
"125",2020,21
"126",2020,14
"127",2020,21
"128",2020,13
"129",2020,10
"130",2020,1
"131",2020,1
"132",2020,0
"133",2020,12
"134",2020,5
"135",2020,6
"136",2020,4
"137",2020,0
"138",2020,9
"139",2020,5
"140",2020,32
"141",2020,10
"142",2020,9
"143",2020,0
"144",2020,7
"145",2020,5
"146",2020,0
"147",2020,8
"148",2020,2
"149",2020,0
"150",2020,0
"151",2020,2
"152",2020,10
"153",2020,4
"154",2020,0
"155",2020,1
"156",2020,0
"157",2020,0
"158",2020,4
"159",2020,3
"160",2020,0
"161",2020,0
"162",2020,3
"163",2020,3
"164",2020,3
"165",2020,2
"166",2020,0
"167",2020,0
"168",2020,0
"169",2020,0
"170",2020,5
"171",2020,1
"172",2020,10
"173",2020,0
"174",2020,1
"175",2020,0
"176",2020,4
"177",2020,3
"178",2020,1
"179",2020,1
"180",2020,5
"181",2020,0
"182",2020,2
"183",2020,0
"184",2020,3
"185",2020,2
"186",2020,0
"187",2020,0
"188",2020,0
"189",2020,4
"190",2020,0
"191",2020,4
"192",2020,1
"193",2020,2
"194",2020,1
"195",2020,2
"196",2020,1
"197",2020,4
"198",2020,2
"199",2020,1
"200",2020,1
"201",2020,0
"202",2020,4
"203",2020,3
"204",2020,4
"205",2020,5
"206",2020,2
"207",2020,2
"208",2020,4
"209",2020,2
"210",2020,4
"211",2020,3
"212",2020,4
"213",2020,5
"214",2020,6
"215",2020,3
"216",2020,1
"217",2020,3
"218",2020,0
"219",2020,5
"220",2020,3
"221",2020,4
"222",2020,6
"223",2020,0
"224",2020,2
"225",2020,6
"226",2020,12
"227",2020,3
"228",2020,4
"229",2020,10
"230",2020,4
"231",2020,10
"232",2020,12
"233",2020,9
"234",2020,12
"235",2020,7
"236",2020,5
"237",2020,11
"238",2020,14
"239",2020,12
"240",2020,8
"241",2020,17
"242",2020,13
"243",2020,12
"244",2020,3
"245",2020,12
"246",2020,11
"247",2020,11
"248",2020,21
"249",2020,27
"250",2020,19
"251",2020,6
"252",2020,18
"253",2020,10
"254",2020,27
"255",2020,6
"256",2020,13
"257",2020,18
"258",2020,10
"259",2020,11
"260",2020,11
"261",2020,4
"262",2020,26
"263",2020,16
"264",2020,15
"265",2020,5
"266",2020,17
"267",2020,20
"268",2020,15
"269",2020,16
"270",2020,21
"271",2020,9
"272",2020,13
"273",2020,10
"274",2020,12
"275",2020,12
"276",2020,7
"277",2021,12
"278",2021,10
"279",2021,10
"280",2021,9
"281",2021,7
"282",2021,7
"283",2021,9
"284",2021,4
"285",2021,7
"286",2021,13
"287",2021,11
"288",2021,13
"289",2021,7
"290",2021,6
"291",2021,10
"292",2021,12
"293",2021,3
"294",2021,4
"295",2021,3
"296",2021,8
"297",2021,9
"298",2021,7
"299",2021,3
"300",2021,5
"301",2021,7
"302",2021,4
"303",2021,0
"304",2021,8
"305",2021,2
"306",2021,1
"307",2021,0
"308",2021,4
"309",2021,1
"310",2021,1
"311",2021,1
"312",2021,0
"313",2021,1
"314",2021,2
"315",2021,3
"316",2021,1
"317",2021,4
"318",2021,1
"319",2021,5
"320",2021,3
"321",2021,0
"322",2021,0
"323",2021,1
"324",2021,0
"325",2021,2
"326",2021,0
"327",2021,0
"328",2021,2
"329",2021,1
"330",2021,2
"331",2021,1
"332",2021,2
"333",2021,4
"334",2021,1
"335",2021,0
"336",2021,1
"337",2021,2
"338",2021,0
"339",2021,0
"340",2021,3
"341",2021,0
"342",2021,0
"343",2021,2
"344",2021,0
"345",2021,0
"346",2021,3
"347",2021,3
"348",2021,1
"349",2021,0
"350",2021,2
"351",2021,0
"352",2021,0
"353",2021,1
"354",2021,1
"355",2021,2
"356",2021,0
"357",2021,1
"358",2021,0
"359",2021,2
"360",2021,1
"361",2021,2
"362",2021,4
"363",2021,8
"364",2021,5
"365",2021,6
"366",2021,1
"367",2021,1
"368",2021,11
"369",2021,4
"370",2021,0
"371",2021,4
"372",2021,5
"373",2021,0
"374",2021,0
"375",2021,8
"376",2021,0
"377",2021,3
"378",2021,1
"379",2021,2
"380",2021,4
"381",2021,0
"382",2021,7
"383",2021,3
"384",2021,8
"385",2021,4
"386",2021,4
"387",2021,7
"388",2021,10
"389",2021,10
"390",2021,6
"391",2021,13
"392",2021,7
"393",2021,7
"394",2021,6
"395",2021,6
"396",2021,5
"397",2021,6
"398",2021,6
"399",2021,10
"400",2021,9
"401",2021,10
"402",2021,3
"403",2021,12
"404",2021,12
"405",2021,3
"406",2021,8
"407",2021,9
"408",2021,3
"409",2021,9
"410",2021,3
"411",2021,6
"412",2021,11
"413",2021,10
"414",2021,10
"415",2021,10
"416",2021,10
"417",2021,10
"418",2021,24
"419",2021,19
"420",2021,14
"421",2021,12
"422",2021,18
"423",2021,20
"424",2021,25
"425",2021,29
"426",2021,34
"427",2021,27
"428",2021,34
"429",2021,36
"430",2021,41
"431",2021,42
"432",2021,64
"433",2021,54
"434",2021,51
"435",2021,56
"436",2021,37
"437",2021,78
"438",2021,85
"439",2021,71
"440",2021,0
"441",2021,159
"442",2021,92
"443",2021,96
"444",2021,92
"445",2021,93
"446",2021,78
"447",2021,73
"448",2021,86
"449",2021,67
"450",2021,75
"451",2021,56
"452",2021,80
"453",2021,64
"454",2021,77
"455",2021,91
"456",2021,86
"457",2021,59
"458",2021,92
"459",2021,84
"460",2021,77
"461",2021,55
"462",2021,62
"463",2021,84
"464",2021,77
"465",2021,86
"466",2021,67
"467",2021,58
"468",2021,74
"469",2021,60
"470",2021,89
"471",2021,26
"472",2021,49
"473",2021,66
"474",2021,53
"475",2021,27
"476",2021,32
"477",2021,32
"478",2021,36
"479",2021,32
"480",2021,52
"481",2021,38
"482",2021,62
"483",2021,38
"484",2021,62
"485",2021,31
"486",2021,29
"487",2021,37
"488",2021,30
"489",2021,32
"490",2021,28
"491",2021,15
"492",2021,18
"493",2021,11
"494",2021,28
"495",2021,25
"496",2021,17
"497",2021,10
"498",2021,12
"499",2021,10
"500",2021,11
"501",2021,4
"502",2021,6
"503",2021,12
"504",2021,4
"505",2021,7
"506",2021,11
"507",2021,5
"508",2021,6
"509",2021,7
"510",2021,7
"511",2021,3
"512",2021,8
"513",2021,2
"514",2021,6
"515",2021,7
"516",2021,2
"517",2021,5
"518",2021,4
"519",2021,0
"520",2021,1
"521",2021,4
"522",2021,9
"523",2021,3
"524",2021,7
"525",2021,6
"526",2021,7
"527",2021,3
"528",2021,0
"529",2021,2
"530",2021,2
"531",2021,3
"532",2021,9
"533",2021,3
"534",2021,9
"535",2021,4
"536",2021,0
"537",2021,0
"538",2021,0
"539",2021,0
"540",2021,0
"541",2021,0
"542",2021,0
"543",2021,1
"544",2021,1
"545",2021,3
"546",2021,0
"547",2021,2
"548",2021,3
"549",2021,3
"550",2021,0
"551",2021,2
"552",2021,2
"553",2021,4
"554",2021,1
"555",2021,0
"556",2021,0
"557",2021,5
"558",2021,2
"559",2021,2
"560",2021,4
"561",2021,4
"562",2021,0
"563",2021,0
"564",2021,5
"565",2021,3
"566",2021,1
"567",2021,0
"568",2021,2
"569",2021,3
"570",2021,1
"571",2021,4
"572",2021,3
"573",2021,2
"574",2021,4
"575",2021,2
"576",2021,1
"577",2021,3
"578",2021,8
"579",2021,1
"580",2021,0
"581",2021,3
"582",2021,0
"583",2021,0
"584",2021,0
"585",2021,3
"586",2021,1
"587",2021,3
"588",2021,1
"589",2021,0
"590",2021,0
"591",2021,1
"592",2021,1
"593",2021,1
"594",2021,2
"595",2021,2
"596",2021,0
"597",2021,2
"598",2021,2
"599",2021,0
"600",2021,2
"601",2021,1
"602",2021,1
"603",2021,0
"604",2021,1
"605",2021,0
"606",2021,0
"607",2021,0
"608",2021,1
"609",2021,1
"610",2021,0
"611",2021,2
"612",2021,0
"613",2021,4
"614",2021,1
"615",2021,2
"616",2021,2
"617",2021,3
"618",2021,1
"619",2021,3
"620",2021,0
"621",2021,1
"622",2021,2
"623",2021,1
"624",2021,0
"625",2021,1
"626",2021,2
"627",2021,0
"628",2021,0
"629",2021,6
"630",2021,5
"631",2021,2
"632",2021,4
"633",2021,2
"634",2021,0
"635",2021,1
"636",2021,1
"637",2021,0
"638",2022,0
"639",2022,5
"640",2022,3
"641",2022,2
"642",2022,1
"643",2022,1
"644",2022,0
"645",2022,1
"646",2022,4
"647",2022,0
"648",2022,1
"649",2022,2
"650",2022,0
"651",2022,0
"652",2022,2
"653",2022,1
"654",2022,2
"655",2022,2
"656",2022,3
"657",2022,0
"658",2022,0
"659",2022,4
"660",2022,3
"661",2022,0
"662",2022,4
"663",2022,4
"664",2022,2
"665",2022,0
"666",2022,4
"667",2022,2
"668",2022,5
"669",2022,3
"670",2022,1
"671",2022,2
"672",2022,0
"673",2022,5
"674",2022,7
"675",2022,10
"676",2022,12
"677",2022,11
"678",2022,12
"679",2022,5
"680",2022,6
"681",2022,6
"682",2022,7
"683",2022,3
"684",2022,9
"685",2022,11
"686",2022,5
"687",2022,5
"688",2022,7
"689",2022,8
"690",2022,25
"691",2022,1
"692",2022,3
"693",2022,3
"694",2022,7
"695",2022,5
"696",2022,5
"697",2022,11
"698",2022,8
"699",2022,2
"700",2022,1
"701",2022,2
"702",2022,1
"703",2022,3
"704",2022,4
"705",2022,6
"706",2022,3
"707",2022,1
"708",2022,2
"709",2022,1
"710",2022,2
"711",2022,1
"712",2022,5
"713",2022,0
"714",2022,1
"715",2022,2
"716",2022,0
"717",2022,2
"718",2022,1
"719",2022,1
"720",2022,0
"721",2022,2
"722",2022,2
"723",2022,1
"724",2022,2
"725",2022,0
"726",2022,5
"727",2022,1
"728",2022,0
"729",2022,0
"730",2022,0
"731",2022,0
"732",2022,0
"733",2022,2
"734",2022,0
"735",2022,2
"736",2022,0
"737",2022,0
"738",2022,1
"739",2022,0
"740",2022,0
"741",2022,0
"742",2022,0
"743",2022,2
"744",2022,2
"745",2022,0
"746",2022,0
"747",2022,0
"748",2022,0
"749",2022,1
"750",2022,1
"751",2022,1
"752",2022,0
"753",2022,0
"754",2022,0
"755",2022,0
"756",2022,0
"757",2022,0
"758",2022,1
"759",2022,0
"760",2022,0
"761",2022,0
"762",2022,1
"763",2022,1
"764",2022,0
"765",2022,0
"766",2022,1
"767",2022,3
"768",2022,0
"769",2022,1
"770",2022,0
"771",2022,0
"772",2022,4
"773",2022,2
"774",2022,0
"775",2022,1
"776",2022,0
"777",2022,1
"778",2022,0
"779",2022,0
"780",2022,0
"781",2022,2
"782",2022,0
"783",2022,2
"784",2022,2
"785",2022,2
"786",2022,1
"787",2022,0
"788",2022,1
"789",2022,0
"790",2022,0
"791",2022,0
"792",2022,0
"793",2022,0
"794",2022,0
"795",2022,0
"796",2022,1
"797",2022,0
"798",2022,0
"799",2022,0
"800",2022,3
"801",2022,0
"802",2022,0
"803",2022,0
"804",2022,1
"805",2022,1
"806",2022,0
"807",2022,0
"808",2022,0
"809",2022,2
"810",2022,0
"811",2022,3
"812",2022,2
"813",2022,0
"814",2022,1
"815",2022,0
"816",2022,1
"817",2022,0
"818",2022,1
"819",2022,0
"820",2022,0
"821",2022,2
"822",2022,0
"823",2022,0
"824",2022,1
"825",2022,0
"826",2022,0
"827",2022,0
"828",2022,0
"829",2022,1
"830",2022,1
"831",2022,2
"832",2022,1
"833",2022,3
"834",2022,1
"835",2022,1
"836",2022,0
"837",2022,0
"838",2022,0
"839",2022,1
"840",2022,3
"841",2022,1
"842",2022,0
"843",2022,0
"844",2022,4
"845",2022,1
"846",2022,3
"847",2022,1
"848",2022,0
"849",2022,0
"850",2022,0
"851",2022,0
"852",2022,0
"853",2022,1
"854",2022,0
"855",2022,0
"856",2022,2
"857",2022,1
"858",2022,2
"859",2022,0
"860",2022,1
"861",2022,0
"862",2022,0
"863",2022,0
"864",2022,0
"865",2022,0
"866",2022,5
"867",2022,3
"868",2022,1
"869",2022,1
"870",2022,2
"871",2022,0
"872",2022,3
"873",2022,3
"874",2022,0
"875",2022,0
"876",2022,1
"877",2022,0
"878",2022,1
"879",2022,1
"880",2022,2
"881",2022,1
"882",2022,0
"883",2022,2
"884",2022,1
"885",2022,0
"886",2022,1
"887",2022,0
"888",2022,2
"889",2022,2
"890",2022,0
"891",2022,1
"892",2022,2
"893",2022,0
"894",2022,2
"895",2022,0
"896",2022,0
"897",2022,0
"898",2022,0
"899",2022,0
"900",2022,0
"901",2022,1
"902",2022,1
"903",2022,0
"904",2022,1
"905",2022,0
"906",2022,0
"907",2022,0
"908",2022,1
"909",2022,3
"910",2022,1
"911",2022,0
"912",2022,0
"913",2022,0
"914",2022,0
"915",2022,2
"916",2022,1
"917",2022,0
"918",2022,0
"919",2022,2
"920",2022,1
"921",2022,1
"922",2022,0
"923",2022,0
"924",2022,1
"925",2022,1
"926",2022,5
"927",2022,0
"928",2022,0
"929",2022,1
"930",2022,1
"931",2022,0
"932",2022,0
"933",2022,1
"934",2022,0
"935",2022,0
"936",2022,1
"937",2022,1
"938",2022,0
"939",2022,2
"940",2022,0
"941",2022,1
"942",2022,0
"943",2022,2
"944",2022,1
"945",2022,0
"946",2022,0
"947",2022,0
"948",2022,0
"949",2022,0
"950",2022,0
"951",2022,1
"952",2022,0
"953",2022,0
"954",2022,0
"955",2022,1
"956",2022,0
"957",2022,1
"958",2022,1
"959",2022,0
"960",2022,0
"961",2022,0
"962",2022,0
"963",2022,0
"964",2022,0
"965",2022,0
"966",2022,0
"967",2022,1
"968",2022,0
"969",2022,0
"970",2022,0
"971",2022,1
"972",2022,0
"973",2022,2
"974",2022,2
"975",2022,0
"976",2022,0
"977",2022,0
"978",2022,1
"979",2022,3
"980",2022,0
"981",2022,0
"982",2022,0
"983",2022,1
"984",2022,1
"985",2022,0
"986",2022,0
"987",2022,0
"988",2022,0
"989",2022,0
"990",2022,0
"991",2022,1
"992",2022,0
"993",2022,0
"994",2022,0
"995",2022,1
"996",2022,2
"997",2023,0
"998",2023,0
"999",2023,0
"1000",2023,1
"1001",2023,0
"1002",2023,0
"1003",2023,0
"1004",2023,1
"1005",2023,1
"1006",2023,2
"1007",2023,0
"1008",2023,0
"1009",2023,1
"1010",2023,0
"1011",2023,0
"1012",2023,0
"1013",2023,2
"1014",2023,2
"1015",2023,0
"1016",2023,1
"1017",2023,0
"1018",2023,0
"1019",2023,1
"1020",2023,0
"1021",2023,1
"1022",2023,1
"1023",2023,0
"1024",2023,2
"1025",2023,1
"1026",2023,0
"1027",2023,2
"1028",2023,1
"1029",2023,3
"1030",2023,0
"1031",2023,0
"1032",2023,2
"1033",2023,0
"1034",2023,0
"1035",2023,3
"1036",2023,0
"1037",2023,0
"1038",2023,0
"1039",2023,0
"1040",2023,0
"1041",2023,0
"1042",2023,0
"1043",2023,0
"1044",2023,0
"1045",2023,0
"1046",2023,0
"1047",2023,1
"1048",2023,0
"1049",2023,0
"1050",2023,0
"1051",2023,0
"1052",2023,0
"1053",2023,0
"1054",2023,1
"1055",2023,0
"1056",2023,0
"1057",2023,0
"1058",2023,0
"1059",2023,0
"1060",2023,0
"1061",2023,0
"1062",2023,0
"1063",2023,0
"1064",2023,1
"1065",2023,0
"1066",2023,1
"1067",2023,0
"1068",2023,0
"1069",2023,0
"1070",2023,0
"1071",2023,0
"1072",2023,0
"1073",2023,0
"1074",2023,0
"1075",2023,0
"1076",2023,1
"1077",2023,0
"1078",2023,0
"1079",2023,0
"1080",2023,0
"1081",2023,0
"1082",2023,0
"1083",2023,0
"1084",2023,0
"1085",2023,1
"1086",2023,0
"1087",2023,0
"1088",2023,0
"1089",2023,1
"1090",2023,0
"1091",2023,0
"1092",2023,0
"1093",2023,0
"1094",2023,0
"1095",2023,0
"1096",2023,1
"1097",2023,0
"1098",2023,0
"1099",2023,0
"1100",2023,0
"1101",2023,0
"1102",2023,0
"1103",2023,0
"1104",2023,1
"1105",2023,1
"1106",2023,0
"1107",2023,0
"1108",2023,0
"1109",2023,1
"1110",2023,3
"1111",2023,1
"1112",2023,0
"1113",2023,0
"1114",2023,0
"1115",2023,0
"1116",2023,0
"1117",2023,1
"1118",2023,0
"1119",2023,1
"1120",2023,1
"1121",2023,2
"1122",2023,5
"1123",2023,1
"1124",2023,0
"1125",2023,1
"1126",2023,3
"1127",2023,0
"1128",2023,1
"1129",2023,0
"1130",2023,4
"1131",2023,1
"1132",2023,0
"1133",2023,0
"1134",2023,0
"1135",2023,0
"1136",2023,0
"1137",2023,0
"1138",2023,1
"1139",2023,0
"1140",2023,0
"1141",2023,1
"1142",2023,0
"1143",2023,0
"1144",2023,1
"1145",2023,0
"1146",2023,0
"1147",2023,2
"1148",2023,1
"1149",2023,0
"1150",2023,0
"1151",2023,0
"1152",2023,0
"1153",2023,0
"1154",2023,0
"1155",2023,1
"1156",2023,0
"1157",2023,0
"1158",2023,1
"1159",2023,0
"1160",2023,1
"1161",2023,0
"1162",2023,0
"1163",2023,0
"1164",2023,0
"1165",2023,2
"1166",2023,0
"1167",2023,1
"1168",2023,1
"1169",2023,0
"1170",2023,0
"1171",2023,0
"1172",2023,0
"1173",2023,0
"1174",2023,0
