"","Months","Total_death"
"1","Feb","0"
"2","Mar","0"
"3","Mar","0"
"4","Mar","0"
"5","Mar","0"
"6","Mar","0"
"7","Mar","0"
"8","Mar","1"
"9","Mar","0"
"10","Mar","0"
"11","Mar","1"
"12","Mar","0"
"13","Mar","1"
"14","Mar","1"
"15","Apr","0"
"16","Apr","0"
"17","Apr","0"
"18","Apr","1"
"19","Apr","0"
"20","Apr","2"
"21","Apr","0"
"22","Apr","4"
"23","Apr","3"
"24","Apr","1"
"25","Apr","0"
"26","Apr","0"
"27","Apr","3"
"28","Apr","1"
"29","Apr","3"
"30","Apr","3"
"31","Apr","4"
"32","Apr","1"
"33","Apr","0"
"34","Apr","0"
"35","Apr","3"
"36","Apr","3"
"37","Apr","0"
"38","Apr","4"
"39","Apr","0"
"40","Apr","3"
"41","Apr","6"
"42","Apr","1"
"43","Apr","10"
"44","Apr","0"
"45","May","0"
"46","May","4"
"47","May","8"
"48","May","23"
"49","May","9"
"50","May","1"
"51","May","10"
"52","May","4"
"53","May","2"
"54","May","6"
"55","May","5"
"56","May","4"
"57","May","17"
"58","May","15"
"59","May","1"
"60","May","4"
"61","May","4"
"62","May","12"
"63","May","12"
"64","May","10"
"65","May","7"
"66","May","1"
"67","May","1"
"68","May","6"
"69","May","9"
"70","May","11"
"71","May","2"
"72","Jun","2"
"73","Jun","15"
"74","Jun","5"
"75","Jun","24"
"76","Jun","5"
"77","Jun","10"
"78","Jun","18"
"79","Jun","30"
"80","Jun","12"
"81","Jun","7"
"82","Jun","29"
"83","Jun","21"
"84","Jun","20"
"85","Jun","5"
"86","Jun","20"
"87","Jun","5"
"88","Jun","8"
"89","Jun","20"
"90","Jun","42"
"91","Jun","2"
"92","Jun","0"
"93","Jun","33"
"94","Jun","17"
"95","Jun","20"
"96","Jun","21"
"97","Jun","36"
"98","Jun","5"
"99","Jun","23"
"100","Jun","26"
"101","Jun","4"
"102","Jul","2"
"103","Jul","39"
"104","Jul","33"
"105","Jul","12"
"106","Jul","7"
"107","Jul","38"
"108","Jul","23"
"109","Jul","33"
"110","Jul","16"
"111","Jul","1"
"112","Jul","34"
"113","Jul","4"
"114","Jul","35"
"115","Jul","2"
"116","Jul","33"
"117","Jul","49"
"118","Jul","19"
"119","Jul","34"
"120","Jul","0"
"121","Jul","34"
"122","Jul","2"
"123","Jul","1"
"124","Jul","6"
"125","Jul","21"
"126","Jul","14"
"127","Jul","21"
"128","Jul","13"
"129","Jul","10"
"130","Jul","1"
"131","Jul","1"
"132","Jul","0"
"133","Aug","12"
"134","Aug","5"
"135","Aug","6"
"136","Aug","4"
"137","Aug","0"
"138","Aug","9"
"139","Aug","5"
"140","Aug","32"
"141","Aug","10"
"142","Aug","9"
"143","Aug","0"
"144","Aug","7"
"145","Aug","5"
"146","Aug","0"
"147","Aug","8"
"148","Aug","2"
"149","Aug","0"
"150","Aug","0"
"151","Aug","2"
"152","Aug","10"
"153","Aug","4"
"154","Aug","0"
"155","Aug","1"
"156","Aug","0"
"157","Sep","0"
"158","Sep","4"
"159","Sep","3"
"160","Sep","0"
"161","Sep","0"
"162","Sep","3"
"163","Sep","3"
"164","Sep","3"
"165","Sep","2"
"166","Sep","0"
"167","Sep","0"
"168","Sep","0"
"169","Sep","0"
"170","Sep","5"
"171","Sep","1"
"172","Sep","10"
"173","Sep","0"
"174","Sep","1"
"175","Sep","0"
"176","Sep","4"
"177","Sep","3"
"178","Sep","1"
"179","Sep","1"
"180","Sep","5"
"181","Sep","0"
"182","Sep","2"
"183","Sep","0"
"184","Sep","3"
"185","Sep","2"
"186","Oct","0"
"187","Oct","0"
"188","Oct","0"
"189","Oct","4"
"190","Oct","0"
"191","Oct","4"
"192","Oct","1"
"193","Oct","2"
"194","Oct","1"
"195","Oct","2"
"196","Oct","1"
"197","Oct","4"
"198","Oct","2"
"199","Oct","1"
"200","Oct","1"
"201","Oct","0"
"202","Oct","4"
"203","Oct","3"
"204","Oct","4"
"205","Oct","5"
"206","Oct","2"
"207","Oct","2"
"208","Oct","4"
"209","Oct","2"
"210","Oct","4"
"211","Oct","3"
