"","location","Population","Total_case","percentage"
"1","Cyprus",896007,660854,0.74
"2","San Marino",33690,24697,0.73
"3","Brunei",449002,312094,0.7
"4","Austria",8939617,6081287,0.68
"5","South Korea",51815808,34571873,0.67
"6","Faeroe Islands",53117,34658,0.65
"7","Gibraltar",32677,20550,0.63
"8","Martinique",367512,230354,0.63
"9","Slovenia",2119843,1345384,0.63
"10","Andorra",79843,48015,0.6
"11","Jersey",110796,66391,0.6
"12","Luxembourg",647601,384378,0.59
"13","Denmark",5882259,3417017,0.58
"14","France",67813000,38997490,0.58
"15","Saint Pierre and Miquelon",5885,3426,0.58
"16","Guernsey",63329,35326,0.56
"17","Iceland",372903,209142,0.56
"18","Liechtenstein",39355,21504,0.55
"19","Portugal",10270857,5621015,0.55
"20","Latvia",1850654,976316,0.53
"21","Greece",10384972,5405742,0.52
"22","Falkland Islands",3801,1923,0.51
"23","Guadeloupe",395762,203235,0.51
"24","Israel",9449000,4840714,0.51
"25","Reunion",974062,494595,0.51
"26","Switzerland",8740471,4417131,0.51
"27","Georgia",3744385,1855289,0.5
"28","Saint Barthelemy",10994,5507,0.5
"29","Lithuania",2750058,1335551,0.49
"30","Netherlands",17564020,8618815,0.49
"31","Seychelles",107135,50937,0.48
"32","Bahrain",1472237,696614,0.47
"33","Monaco",36491,17072,0.47
"34","Singapore",5637022,2641196,0.47
"35","Cayman Islands",68722,31472,0.46
"36","Germany",83369840,38437756,0.46
"37","New Zealand",5185289,2393977,0.46
"38","Estonia",1326064,602187,0.45
"39","Isle of Man",84534,38008,0.45
"40","Niue",1952,887,0.45
"41","Australia",26177410,11623332,0.44
"42","Bonaire Sint Eustatius and Saba",27052,11922,0.44
"43","Czechia",10493990,4661103,0.44
"44","Italy",59037472,26202253,0.44
"45","Aruba",106459,44224,0.42
"46","Cook Islands",17032,7168,0.42
"47","Nauru",12691,5393,0.42
"48","Belgium",11655923,4817196,0.41
"49","Montenegro",627082,251280,0.4
"50","Saint Helena",5401,2166,0.4
"51","Barbados",281646,110082,0.39
"52","Marshall Islands",41593,16138,0.39
"53","Puerto Rico",3252412,1252713,0.39
"54","Saint Martin (French part)",31816,12324,0.39
"55","Serbia",6871547,2563994,0.37
"56","United Kingdom",67508936,24789488,0.37
"57","Maldives",523798,186694,0.36
"58","Palau",18084,6243,0.35
"59","Ireland",5023108,1723096,0.34
"60","Slovakia",5643455,1867933,0.33
"61","Croatia",4030361,1276001,0.32
"62","French Guiana",304568,98041,0.32
"63","Montserrat",4413,1403,0.32
"64","United States",338289856,103436829,0.31
"65","Wallis and Futuna",11596,3550,0.31
"66","Guam",171783,52050,0.3
"67","Mongolia",3398373,1011170,0.3
"68","Uruguay",3422796,1040506,0.3
"69","Bermuda",64207,18860,0.29
"70","Northern Mariana Islands",49574,14306,0.29
"71","Spain",47558632,13980340,0.29
"72","New Caledonia",289959,80064,0.28
"73","Chile",19603736,5288869,0.27
"74","Finland",5540745,1488381,0.27
"75","Japan",123951696,33803572,0.27
"76","Norway",5434324,1489459,0.27
"77","French Polynesia",306292,78649,0.26
"78","Sweden",10549349,2719400,0.26
"79","Tuvalu",11335,2943,0.26
"80","United States Virgin Islands",99479,25389,0.26
"81","Anguilla",15877,3904,0.25
"82","Sint Maarten (Dutch part)",44192,11051,0.25
"83","Costa Rica",5180836,1238884,0.24
"84","Curacao",191173,45883,0.24
"85","Mauritius",1299478,309983,0.24
"86","Panama",4408582,1047587,0.24
"87","British Virgin Islands",31332,7305,0.23
"88","Lebanon",5489744,1239904,0.23
"89","Malta",533293,120422,0.23
"90","Micronesia (country)",114178,26547,0.23
"91","Argentina",45510324,10054576,0.22
"92","Dominica",72758,15798,0.22
"93","Hungary",9967304,2207993,0.22
"94","Greenland",56494,11971,0.21
"95","Turkey",85341248,17004677,0.2
"96","American Samoa",44295,8359,0.19
"97","Bulgaria",6781955,1302188,0.19
"98","Moldova",3272993,625712,0.19
"99","Qatar",2695131,514524,0.19
"100","Belize",405285,71060,0.18
"101","Brazil",215313504,37721749,0.18
"102","Romania",19659270,3485792,0.18
"103","North Macedonia",2093606,349104,0.17
"104","Saint Lucia",179872,30149,0.17
"105","Armenia",2780472,450334,0.16
"106","Grenada",125459,19693,0.16
"107","Kuwait",4268886,666432,0.16
"108","Poland",39857144,6527077,0.16
"109","Russia",144713312,23098734,0.16
"110","Tonga",106867,16846,0.16
"111","Jordan",11285875,1746997,0.15
"112","Kosovo",1782115,274279,0.15
"113","Malaysia",33938216,5131899,0.15
"114","Saint Kitts and Nevis",47681,6607,0.14
"115","Turks and Caicos Islands",45726,6630,0.14
"116","Ukraine",39701744,5520483,0.14
"117","Botswana",2630300,330321,0.13
"118","Mayotte",326113,42027,0.13
"119","Palestine",5250076,703228,0.13
"120","Peru",34049588,4520727,0.13
"121","Suriname",618046,82588,0.13
"122","Trinidad and Tobago",1531043,191496,0.13
"123","Albania",2842318,334090,0.12
"124","Bosnia and Herzegovina",3233530,403266,0.12
"125","Canada",38454328,4716205,0.12
