"","location","Total_population","Total_death","percentage"
"1","Peru",34049588,221704,0.651120947484005
"2","Bulgaria",6781955,38414,0.566414846456516
"3","Bosnia and Herzegovina",3233530,16362,0.506010459157639
"4","Hungary",9967304,48817,0.489771356426974
"5","North Macedonia",2093606,9946,0.475065508983066
"6","Georgia",3744385,17132,0.457538420862171
"7","Croatia",4030361,18397,0.456460351814639
"8","Slovenia",2119843,9448,0.445693383896826
"9","Montenegro",627082,2654,0.423230135771717
"10","Czechia",10493990,42900,0.408805421007643
"11","Latvia",1850654,7384,0.398994085334158
"12","Slovakia",5643455,21167,0.37507165380073
"13","San Marino",33690,126,0.3739982190561
"14","Moldova",3272993,12135,0.370761562887547
"15","Greece",10384972,37572,0.361792020238475
"16","Lithuania",2750058,9729,0.353774356759021
"17","Romania",19659270,68455,0.348207232516772
"18","Gibraltar",32677,113,0.345808978792423
"19","United Kingdom",67508936,230669,0.341686617605705
"20","United States",338289856,1136920,0.336078655577541
"21","Chile",19603736,64497,0.329003614413089
"22","Brazil",215313504,704659,0.327271158988709
"23","Italy",59037472,192210,0.325572883608566
"24","Armenia",2780472,8762,0.31512635264804
"25","Martinique",367512,1104,0.30039835433945
"26","Poland",39857144,119657,0.300214686732195
"27","Paraguay",6780745,19981,0.294672635528987
"28","Belgium",11655923,34339,0.294605583787745
"29","Trinidad and Tobago",1531043,4390,0.286732639122481
"30","Argentina",45510324,130472,0.28668659884733
"31","Ukraine",39701744,109918,0.276859374238069
"32","Russia",144713312,400195,0.276543321736704
"33","Colombia",51874028,142942,0.275556006562668
"34","Aruba",106459,292,0.27428399665599
"35","Portugal",10270857,27424,0.267007904014241
"36","Serbia",6871547,18057,0.262779254802448
"37","Mexico",127504120,334727,0.262522497312244
"38","Guadeloupe",395762,1021,0.257983333417559
"39","Bermuda",64207,165,0.256981326023642
"40","Spain",47558632,121852,0.256214266213545
"41","Austria",8939617,22534,0.252068964475771
"42","France",67813000,167985,0.247717989176117
"43","Guam",171783,417,0.242748118265486
"44","Tunisia",12356116,29423,0.238124990085881
"45","Sweden",10549349,24950,0.236507484964238
"46","Saint Lucia",179872,410,0.227939868350827
"47","Suriname",618046,1408,0.2278147581248
"48","Uruguay",3422796,7635,0.2230632500447
"49","Liechtenstein",39355,87,0.221064667767755
"50","Barbados",281646,620,0.220134495075378
"51","Estonia",1326064,2902,0.218843132759806
"52","French Polynesia",306292,649,0.211889308241808
"53","Germany",83369840,174979,0.209882854519092
"54","Sint Maarten (Dutch part)",44192,92,0.208182476466329
"55","Bahamas",409989,844,0.205859181587799
"56","British Virgin Islands",31332,64,0.204264011234521
"57","Ecuador",18001002,36043,0.200227742877869
"58","Lebanon",5489744,10947,0.199408205555669
"59","Andorra",79843,159,0.199140813847175
"60","Panama",4408582,8654,0.196298946010304
"61","Grenada",125459,238,0.189703409081851
"62","Finland",5540745,10371,0.187176995151374
"63","Ireland",5023108,9262,0.184387833190128
"64","Monaco",36491,67,0.183606916773999
"65","Bolivia",12224114,22404,0.183277086584762
"66","Puerto Rico",3252412,5938,0.18257219565049
"67","Costa Rica",5180836,9428,0.181978352528434
"68","Montserrat",4413,8,0.181282574212554
"69","Kosovo",1782115,3212,0.180235282234873
"70","South Africa",59893884,102595,0.171294618328643
"71","Belize",405285,688,0.169757084520769
"72","Iran",88550568,146480,0.1654196052136
"73","Malta",533293,882,0.165387507430249
"74","Switzerland",8740471,14073,0.161009629801415
"75","Guyana",808727,1299,0.160622805965425
"76","Seychelles",107135,172,0.160545106641154
"77","Namibia",2567024,4100,0.159718023672548
"78","Curacao",191173,305,0.159541357827727
"79","Antigua and Barbuda",93772,146,0.155696796485091
"80","Luxembourg",647601,1000,0.154416067918363
"81","Cyprus",896007,1364,0.152230953552818
"82","Bonaire Sint Eustatius and Saba",27052,41,0.151559958598255
"83","Denmark",5882259,8824,0.150010395666019
"84","Jersey",110796,161,0.145312105130149
"85","Saint Martin (French part)",31816,46,0.144581342720644
"86","Canada",38454328,53297,0.138598183278616
"87","Isle of Man",84534,116,0.137222892563939
"88","French Guiana",304568,413,0.135601901709963
"89","Israel",9449000,12697,0.134374007831517
"90","United States Virgin Islands",99479,132,0.132691321786508
"91","Netherlands",17564020,22986,0.130869812263935
"92","Jamaica",2827382,3611,0.127715321099165
"93","Albania",2842318,3604,0.126797916348558
"94","Jordan",11285875,14122,0.125129863657005
"95","Saint Vincent and the Grenadines",103959,124,0.119277792206543
"96","Turkey",85341248,101419,0.118839368273593
"97","Eswatini",1201680,1427,0.118750416084149
"98","Guatemala",17843914,20236,0.113405612692372
"99","Malaysia",33938216,37200,0.109610947139944
"100","Palestine",5250076,5708,0.108722235640017
"101","New Caledonia",289959,314,0.108291172200208
"102","Honduras",10432858,11127,0.106653421334787
"103","Botswana",2630300,2800,0.106451735543474
"104","Guernsey",63329,67,0.105796712406638
"105","Norway",5434324,5732,0.10547770063029
"106","Bahrain",1472237,1536,0.104331028224396
"107","Dominica",72758,74,0.10170702878034
"108","Oman",4576300,4628,0.101129733627603
"109","Azerbaijan",10358078,10353,0.0999509754608915
"110","Kazakhstan",19397998,19072,0.098319424509684
"111","Saint Kitts and Nevis",47681,46,0.0964744866928127
"112","Fiji",929769,885,0.095184933031753
"113","Reunion",974062,921,0.0945525028180958
"114","Libya",6812344,6437,0.0944902371342375
"115","Australia",26177410,23289,0.0889660207025829
"116","Turks and Caicos Islands",45726,39,0.0852906442724052
"117","Northern Mariana Islands",49574,41,0.0827046435631581
"118","Mauritius",1299478,1054,0.0811094916574194
"119","Sri Lanka",21832150,16882,0.0773263283735225
"120","American Samoa",44295,34,0.0767580991082515
"121","Cuba",11212198,8530,0.0760778573478635
"122","Anguilla",15877,12,0.0755810291616804
"123","Belarus",9534956,7118,0.0746516292261862
"124","Cape Verde",593162,416,0.0701326113270911
"125","South Korea",51815808,35934,0.0693494927262352
"126","Wallis and Futuna",11596,8,0.0689893066574681
"127","Mongolia",3398373,2284,0.0672086318953217
"128","El Salvador",6336393,4230,0.0667572229184648
"129","New Zealand",5185289,3393,0.0654351184668781
"130","Maldives",523798,316,0.0603285999564718
"131","Japan",123951696,74694,0.0602605711825032
"132","Kuwait",4268886,2570,0.0602030600020708
"133","Indonesia",275501344,161918,0.058772127078988
"134","Philippines",115559008,66714,0.0577315443898584
"135","Mayotte",326113,187,0.0573420869453226
"136","Iraq",44496124,25375,0.0570274390641306
"137","Micronesia (country)",114178,65,0.0569286552575803
"138","Cayman Islands",68722,37,0.0538401094263846
"139","Faeroe Islands",53117,28,0.052713820434136
"140","Iceland",372903,186,0.0498789229370641
"141","Palau",18084,9,0.0497677504976775
"142","Thailand",71697024,34485,0.0480982306880687
"143","Saint Barthelemy",10994,5,0.0454793523740222
"144","Vietnam",98186856,43206,0.044003853224509
"145","Morocco",37457976,16297,0.0435074228249813
"146","Marshall Islands",41593,17,0.040872262159498
"147","Nepal",30547586,12031,0.0393844541431195
"148","Dominican Republic",11228821,4384,0.0390423892232319
"149","India",1417173120,533291,0.0376306177751946
"150","Greenland",56494,21,0.0371720890714058
"151","Brunei",449002,163,0.0363027336181131
"152","Myanmar",54179312,19494,0.0359805233407172
"153","Sao Tome and Principe",227393,80,0.0351813820126389
"154","Zimbabwe",16320539,5720,0.0350478620834765
"155","Saint Pierre and Miquelon",5885,2,0.0339847068819031
"156","Singapore",5637022,1872,0.0332090241975284
"157","Lesotho",2305826,709,0.0307482004279594
"158","Solomon Islands",724272,199,0.0274758654207259
"159","Saudi Arabia",36408824,9646,0.026493577490995
"160","Qatar",2695131,690,0.0256017239978316
"161","United Arab Emirates",9441138,2349,0.024880475213899
"162","Egypt",110990096,24830,0.0223713654594911
"163","Mauritania",4736146,997,0.0210508713202676
"164","Venezuela",28301700,5856,0.0206913365628213
"165","Zambia",20017670,4069,0.0203270410592242
"166","Afghanistan",41128772,7952,0.0193343968548344
"167","Comoros",836783,161,0.0192403526362271
"168","Kiribati",131237,24,0.0182875256215854
"169","Cambodia",16767851,3056,0.0182253527896926
"170","Bangladesh",171186368,29477,0.0172192449342695
"171","Djibouti",1120851,189,0.0168621877484162
"172","Kyrgyzstan",6630621,1024,0.015443500691715
"173","Algeria",44903228,6881,0.0153240653433646
"174","Syria",22125242,3163,0.014295888831408
"175","Samoa",222390,31,0.0139394756958496
"176","Gambia",2705995,372,0.0137472537828045
"177","Malawi",20405318,2686,0.013163235191924
"178","Pakistan",235824864,30656,0.0129994774427178
"179","Gabon",2388997,307,0.0128505812271845
"180","Cook Islands",17032,2,0.0117426021606388
"181","Senegal",17316452,1971,0.0113822392716476
"182","Tonga",106867,12,0.0112289107020876
"183","Equatorial Guinea",1674916,183,0.0109259210611159
"184","Sudan",46874200,5046,0.0107649837223889
"185","Rwanda",13776702,1468,0.0106556707113212
"186","Kenya",54027484,5689,0.0105298258937988
"187","Timor",1341298,138,0.0102885413979593
"188","Laos",7529477,671,0.00891164153898073
"189","Tuvalu",11335,1,0.00882223202470225
"190","China",1425887360,121764,0.00853952446846853
"191","Guinea-Bissau",2105580,177,0.00840623486165332
"192","Nauru",12691,1,0.00787959971633441
"193","Somalia",17597508,1361,0.00773404961657071
"194","Uganda",47249588,3632,0.00768683951275935
"195","Haiti",11585003,860,0.00742339039532402
"196","Cameroon",27914542,1974,0.00707158297635691
"197","Mozambique",32969520,2249,0.00682145205632354
